Vol_Sl,Section,cat,Date,Year,wc,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
CWMG01_001,A CONFESSION ,0,1884-07-04,1884,65,0.181818182,0,0.181818182,0.272727273,0,0.181818182,0.090909091,0.090909091
CWMG01_002,"SPEECH AT ALFRED HIGH SCHOOL, RAJKOT ",2,1888-07-04,1888,244,0.107142857,0.107142857,0.035714286,0.107142857,0.071428571,0.178571429,0.178571429,0.214285714
CWMG01_003,LETTER TO LAKSHMIDAS GANDHI ,1,1888-11-09,1891,214,0.107142857,0.214285714,0.035714286,0.071428571,0.142857143,0.178571429,0.071428571,0.178571429
CWMG01_004,LONDON DIARY ,0,1888-11-12,1899,6949,0.062347188,0.232273839,0.039119804,0.068459658,0.177261614,0.100244499,0.072127139,0.248166259
CWMG01_005,DRAFT OF LETTER TO FREDERICK LELY ,1,1888-12-01,1901,519,0.032258065,0.35483871,0,0.032258065,0.096774194,0.064516129,0.096774194,0.322580645
CWMG01_006,LETTER TO COL. J. W. WATSON ,1,1891-06-11,1911,255,0.035714286,0.142857143,0,0.035714286,0.142857143,0.107142857,0.035714286,0.5
CWMG01_007,INDIAN VEGETARIANS ,5,1891-06-11,1921,417,0.138888889,0.083333333,0.083333333,0.222222222,0.055555556,0.138888889,0.111111111,0.166666667
CWMG01_008,INDIAN VEGETARIANS ,5,1891-06-11,1934,774,0.053571429,0.089285714,0,0.089285714,0.232142857,0.053571429,0.053571429,0.428571429
CWMG01_009,INDIAN VEGETARIANS ,5,1891-06-11,1938,739,0.144578313,0.060240964,0.13253012,0.21686747,0.084337349,0.120481928,0.036144578,0.204819277
CWMG01_010,INDIAN VEGETARIANS ,5,1891-06-11,1945,1084,0.082191781,0.143835616,0.075342466,0.095890411,0.136986301,0.075342466,0.054794521,0.335616438
